415,445,480,515,555,590,630,680,730,760,810,860,910,Glucose
0,98;0,99;0,98;0,98;0,98;0,98;0,94;0,93;0,88;0,88;0,89;0,9;0,81;111
0,98;0,99;0,98;0,98;0,98;0,98;0,94;0,93;0,87;0,88;0,88;0,9;0,8;111
0,98;0,99;0,98;0,98;0,98;0,98;0,94;0,93;0,87;0,88;0,88;0,9;0,8;111
0,98;0,98;0,98;0,98;0,98;0,98;0,94;0,93;0,87;0,88;0,88;0,89;0,79;111
0,98;0,98;0,98;0,98;0,98;0,98;0,94;0,93;0,87;0,88;0,88;0,89;0,79;111
0,98;0,98;0,98;0,98;0,98;0,98;0,95;0,93;0,87;0,88;0,88;0,9;0,79;111
0,98;0,99;0,99;0,98;0,97;0,98;0,94;0,93;0,91;0,92;0,92;0,94;0,82;113
0,98;0,99;0,98;0,98;0,97;0,97;0,94;0,93;0,91;0,92;0,92;0,94;0,82;113
0,98;0,99;0,99;0,98;0,97;0,98;0,94;0,93;0,91;0,92;0,92;0,94;0,82;113
0,98;0,99;0,98;0,98;0,97;0,98;0,94;0,93;0,92;0,92;0,93;0,94;0,81;113
0,98;0,99;0,98;0,98;0,97;0,98;0,94;0,93;0,92;0,92;0,92;0,94;0,82;113
0,98;0,99;0,99;0,99;0,97;0,98;0,94;0,93;0,92;0,92;0,92;0,94;0,81;113
0,99;0,99;0,99;0,98;0,97;0,97;0,95;0,93;0,81;0,84;0,78;0,89;0,64;114
0,98;0,99;0,99;0,98;0,97;0,97;0,95;0,93;0,81;0,83;0,77;0,88;0,65;114
0,99;0,99;0,99;0,99;0,97;0,97;0,95;0,93;0,81;0,84;0,78;0,88;0,64;114
0,98;0,99;0,99;0,98;0,97;0,97;0,95;0,93;0,81;0,83;0,77;0,88;0,64;114
0,98;0,99;0,99;0,98;0,97;0,97;0,95;0,93;0,81;0,83;0,77;0,88;0,64;114
0,99;0,99;0,99;0,98;0,97;0,97;0,95;0,93;0,81;0,84;0,78;0,89;0,65;114
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,89;0,91;0,9;0,93;0,82;114
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,89;0,91;0,9;0,91;0,82;114
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,89;0,91;0,9;0,91;0,82;114
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,89;0,91;0,9;0,93;0,82;114
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,94;0,89;0,9;0,9;0,91;0,82;114
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,94;0,88;0,9;0,9;0,91;0,82;114
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,9;0,9;0,91;0,8;115
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,9;0,89;0,91;0,78;115
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,89;0,88;0,9;0,78;115
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,89;0,88;0,9;0,77;115
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,94;0,87;0,89;0,88;0,9;0,78;115
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,94;0,88;0,89;0,88;0,9;0,78;115
0,98;0,98;0,97;0,98;0,97;0,97;0,94;0,91;0,78;0,83;0,83;0,88;0,63;119
0,98;0,98;0,97;0,98;0,97;0,97;0,94;0,91;0,79;0,84;0,84;0,88;0,61;119
0,97;0,98;0,97;0,98;0,97;0,97;0,93;0,91;0,78;0,84;0,84;0,88;0,61;119
0,97;0,98;0,98;0,98;0,97;0,97;0,93;0,91;0,79;0,84;0,84;0,88;0,61;119
0,97;0,98;0,97;0,98;0,97;0,97;0,94;0,91;0,79;0,84;0,84;0,88;0,61;119
0,98;0,99;0,99;0,99;0,98;0,98;0,97;0,95;0,85;0,9;0,91;0,94;0,8;120
0,98;0,99;0,99;0,99;0,98;0,98;0,97;0,95;0,85;0,9;0,9;0,94;0,8;120
0,98;0,99;0,99;0,99;0,98;0,98;0,96;0,95;0,86;0,91;0,91;0,94;0,81;120
0,98;0,99;0,99;0,99;0,98;0,98;0,97;0,95;0,85;0,91;0,91;0,94;0,81;120
0,98;0,99;0,99;0,99;0,98;0,98;0,97;0,95;0,85;0,91;0,91;0,94;0,81;120
0,98;0,99;0,99;0,99;0,98;0,98;0,97;0,95;0,86;0,91;0,91;0,94;0,81;120
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,93;0,85;0,87;0,86;0,89;0,77;121
0,98;0,99;0,98;0,98;0,98;0,98;0,95;0,93;0,84;0,87;0,86;0,89;0,76;121
0,98;0,99;0,99;0,98;0,98;0,98;0,95;0,93;0,85;0,87;0,86;0,89;0,76;121
0,98;0,99;0,98;0,98;0,98;0,98;0,95;0,93;0,85;0,87;0,87;0,89;0,77;121
0,98;0,99;0,99;0,99;0,98;0,98;0,95;0,93;0,85;0,87;0,87;0,89;0,77;121
0,98;0,99;0,99;0,99;0,98;0,98;0,96;0,93;0,85;0,87;0,87;0,89;0,76;121
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,8;0,81;0,78;0,79;0,77;121
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,95;0,81;0,81;0,79;0,8;0,78;121
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,81;0,81;0,79;0,8;0,78;121
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,81;0,81;0,79;0,8;0,78;121
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,81;0,81;0,78;0,8;0,78;121
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,81;0,81;0,79;0,8;0,79;121
0,98;0,99;0,99;0,99;0,98;0,99;0,98;0,95;0,86;0,86;0,86;0,9;0,75;123
0,98;0,99;0,99;0,99;0,98;0,99;0,98;0,96;0,87;0,87;0,87;0,91;0,76;123
0,98;0,99;0,99;0,99;0,98;0,99;0,97;0,96;0,87;0,88;0,88;0,91;0,76;123
0,98;0,99;0,99;0,99;0,98;0,99;0,97;0,96;0,88;0,88;0,88;0,91;0,76;123
0,98;0,99;0,98;0,99;0,98;0,99;0,98;0,96;0,88;0,88;0,88;0,91;0,76;123
0,98;0,99;0,99;0,99;0,98;0,99;0,98;0,96;0,88;0,88;0,88;0,91;0,77;123
0,99;0,99;0,99;0,99;0,98;0,99;0,97;0,96;0,88;0,89;0,89;0,91;0,8;123
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,88;0,89;0,89;0,91;0,8;123
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,88;0,9;0,89;0,91;0,8;123
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,88;0,9;0,9;0,91;0,8;123
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,88;0,9;0,9;0,91;0,8;123
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,88;0,9;0,89;0,91;0,8;123
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,92;0,94;0,94;0,96;0,86;123
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,91;0,93;0,94;0,96;0,86;123
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,92;0,93;0,94;0,95;0,86;123
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,92;0,93;0,94;0,96;0,86;123
0,98;0,99;0,98;0,99;0,98;0,98;0,96;0,95;0,91;0,94;0,94;0,96;0,86;123
0,98;0,99;0,98;0,99;0,98;0,98;0,95;0,95;0,91;0,93;0,94;0,95;0,87;123
0,98;0,98;0,97;0,98;0,97;0,97;0,94;0,92;0,78;0,8;0,78;0,8;0,63;123
0,97;0,98;0,98;0,98;0,97;0,97;0,94;0,91;0,77;0,78;0,77;0,79;0,62;123
0,97;0,98;0,97;0,98;0,97;0,97;0,95;0,91;0,77;0,79;0,77;0,79;0,62;123
0,97;0,98;0,98;0,98;0,97;0,97;0,95;0,91;0,77;0,79;0,77;0,79;0,62;123
0,97;0,98;0,97;0,98;0,97;0,98;0,95;0,92;0,77;0,78;0,77;0,8;0,62;123
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,96;0,9;0,91;0,9;0,9;0,85;125
0,99;0,99;0,98;0,99;0,98;0,99;0,96;0,96;0,9;0,91;0,89;0,9;0,85;125
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,96;0,9;0,91;0,9;0,9;0,86;125
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,96;0,9;0,91;0,9;0,9;0,86;125
0,98;0,99;0,98;0,99;0,98;0,99;0,96;0,96;0,9;0,91;0,89;0,9;0,86;125
0,98;0,99;0,98;0,99;0,98;0,99;0,97;0,96;0,9;0,91;0,89;0,9;0,85;125
0,98;0,99;0,99;0,99;0,98;0,98;0,97;0,96;0,86;0,85;0,85;0,89;0,79;126
0,98;0,99;0,99;0,99;0,98;0,98;0,97;0,96;0,86;0,86;0,85;0,89;0,79;126
0,98;0,99;0,98;0,99;0,98;0,99;0,98;0,96;0,86;0,86;0,85;0,89;0,79;126
0,98;0,99;0,99;0,99;0,98;0,99;0,98;0,96;0,86;0,86;0,86;0,9;0,79;126
0,98;0,99;0,99;0,99;0,98;0,99;0,98;0,96;0,87;0,86;0,86;0,9;0,79;126
0,98;0,99;0,99;0,99;0,98;0,99;0,98;0,96;0,87;0,86;0,86;0,9;0,79;126
0,99;0,99;0,99;0,99;0,99;0,99;0,98;0,97;0,91;0,9;0,9;0,93;0,85;127
0,99;0,99;0,99;0,99;0,99;0,99;0,98;0,97;0,91;0,9;0,9;0,92;0,83;127
0,99;0,99;0,99;0,99;0,99;0,99;0,98;0,97;0,91;0,9;0,9;0,92;0,84;127
